fish_names,fish_prices in EUR,pictures,special
"Gelber Anagenys-Cichlide, Exochochromis anagenys yellow",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100179/middle/Exochochromis-anagenys-YELLOW.jpg,
"Gelber Antennenwels, Ancistrus L144, DNZ, 3-4cm",19.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84220/middle/gelber-antennenwels-L-144-Ancistrus-dolichopterus-f.jpg,
"Gelber Cobra Endler Guppy, Poecilia wingei",5.19,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85461/middle/endler-cobra-gelb.jpg,
"Gelber Labidochromis ""Yellow Red Eyes"", Labidochromis caeruleus Albino, DNZ",20.39,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/83868/middle/Labidochromis-caeruleus-yellow.jpg,
"Gelber Labidochromis ""Yellow"", Labidochromis caeruleus, DNZ",11.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8740/middle/8740-Hellgelber-Spitzkopfmaulbrueter--Labidochromis-caer.jpg,
"Gelbschwanz-Maulbrüter, Pseudotropheus spec. acei Luwala, DNZ",14.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80302/middle/80302-Gelbschwanz-Maulbrueter-Pseudotropheus-acei.jpg,
"Gemalter Schwielenwels, Hoplosternum thoracatum, 4-7 cm",7.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/83251/middle/Hoplosternum--thoracatum--Lehm-schwielenwels.jpg,
"Gestreifter Scheibensalmler, Metynnis fasciatus, 3-4 cm",12.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101706/middle/Gestreifter-Scheibensalmler-Metynnis-fasciatus.jpg,Neuheit
"Gestreifter Schneckenbuntbarsch, Neolamprologus multifsciatus, DNZ",15.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85018/middle/Neolamprologus-multifasciatus-.jpg,
"Gestreifter Tanganjikabuntbarsch, Neolamprologus cylindricus, DNZ",14.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100253/middle/Neolamprologus-cylindricus.jpg,Neuheit
"Gestreifter Zwergschilderwels, L15, Peckoltia vittata, 8-10 cm",38.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/83326/middle/83326-L-15-Peckoltia-vittata-zwergschilderwels.jpg,
